url,dealer_name,fb_page_id,Make,mileage.unit,body_style,drivetrain,availability,latitude,longitude,Address
"https://quote.jaguar.com.au/list?q=ownerid:17146,sort:PriceDesc",Hunter Jaguar,234933163213702,Land Rover,KM,Other,Other,Available,-33.8244,151.23782,"{'addr1': '309 Military Road', 'city': 'Mosman', 'region': 'New South Wales', 'country': 'Australia'}"
"https://quote.jaguar.com.au/list?q=ownerid:6604,sort:PriceDesc",Sydney City Jaguar,260418074128159,Land Rover,KM,Other,Other,Available,-33.82247,151.00391,"{'addr1': '49-53 Church Street', 'city': 'Parramatta', 'region': 'New South Wales', 'country': 'Australia'}"
"https://quote.jaguar.com.au/list?q=ownerid:14633,sort:PriceDesc",Concord Jaguar,128307843889458,Land Rover,KM,Other,Other,Available,-33.87381,151.12757,"{'addr1': '1 Parramatta Road', 'city': 'Five Dock', 'region': 'New South Wales', 'country': 'Australia'}"
"https://quote.jaguar.com.au/list?q=ownerid:4609,sort:PriceDesc",Alto Jaguar,126617860724775,Land Rover,KM,Other,Other,Available,-34.03057,151.06315,"{'addr1': '668 Old Princes Highway', 'city': 'Sutherland', 'region': 'New South Wales', 'country': 'Australia'}"
"https://quote.jaguar.com.au/list?q=ownerid:19073,sort:PriceDesc",Melbourne City Jaguar,103095807755958,Land Rover,KM,Other,Other,Available,-37.80685,144.96228,"{'addr1': '501 Swanston Street', 'city': 'Melbourne', 'region': 'Victoria', 'country': 'Australia'}"
"https://quote.jaguar.com.au/list?q=ownerid:19096,sort:PriceDesc",ULR Jaguar,103095807755958,Land Rover,KM,Other,Other,Available,-38.0296,145.33226,"{'addr1': '869 Nepean Highway', 'city': 'Bentleigh', 'region': 'Victoria', 'country': 'Australia'}"
"https://quote.jaguar.com.au/list?q=ownerid:5342,sort:PriceDesc",Brighton Jaguar,103095807755958,Land Rover,KM,Other,Other,Available,-38.0296,145.33226,"{'addr1': '410 Swan Street', 'city': 'Richmond', 'region': 'Victoria', 'country': 'Australia'}"
"https://quote.jaguar.com.au/list?q=ownerid:19239,sort:PriceDesc",Brisbane City Jaguar,103095807755958,Land Rover,KM,Other,Other,Available,-38.0296,145.33226,"{'addr1': '117 Mornington-Tyabb Road', 'city': 'Mornington', 'region': 'Victoria', 'country': 'Australia'}"
"https://quote.jaguar.com.au/list?q=ownerid:19837,sort:PriceDesc",South Brisbane Jaguar,103095807755958,Land Rover,KM,Other,Other,Available,-38.0296,145.33226,"{'addr1': '586 Wickham Street', 'city': 'Fortitude Valley', 'region': 'Queensland', 'country': 'Australia'}"
"https://quote.jaguar.com.au/list?q=ownerid:6407,sort:PriceDesc",Gold Coast Jaguar,103095807755958,Land Rover,KM,Other,Other,Available,-38.0296,145.33226,"{'addr1': '358 Moggill Road', 'city': 'Indooroopilly', 'region': 'Queensland', 'country': 'Australia'}"
"https://quote.jaguar.com.au/list?q=ownerid:6751,sort:PriceDesc",Barbagallo Jaguar,103095807755958,Land Rover,KM,Other,Other,Available,-38.0296,145.33226,"{'addr1': '358 Moggill Road', 'city': 'Indooroopilly', 'region': 'Queensland', 'country': 'Australia'}"
"https://quote.jaguar.com.au/list?q=ownerid:24233,sort:PriceDesc",Bunbury Jaguar,103095807755958,Land Rover,KM,Other,Other,Available,-38.0296,145.33226,"{'addr1': '358 Moggill Road', 'city': 'Indooroopilly', 'region': 'Queensland', 'country': 'Australia'}"
"https://quote.jaguar.com.au/list?q=ownerid:19085,sort:PriceDesc",Solitaire Jaguar,103095807755958,Land Rover,KM,Other,Other,Available,-38.0296,145.33226,"{'addr1': '358 Moggill Road', 'city': 'Indooroopilly', 'region': 'Queensland', 'country': 'Australia'}"
