dealer_name,fb_page_id,Make,mileage.unit,body_style,drivetrain,availability,latitude,longitude,Address
Mercedes-Benz Berwick,103095807755958,Mercedes-Benz,KM,Other,Other,Available,-38.0296,145.33226,"{'addr1': '518 Princess Highway', 'city': 'Berwick', 'region': 'Victoria', 'country': 'Australia'}"
Mercedes-Benz Coffs Coast,174825955907753,Mercedes-Benz,KM,Other,Other,Available,-30.30624,153.10246,"{'addr1': '4 Tolhurst Place', 'city': 'Coffs Coast', 'region': 'New South Wales', 'country': 'Australia'}"
Mercedes-Benz Waverley,1628022013949162,Mercedes-Benz,KM,Other,Other,Available,-37.92106,145.15789,"{'addr1': '769 Springvale Road', 'city': 'Mulgrave', 'region': 'Victoria', 'country': 'Australia'}"
Mercedes-Benz Macarthur,213645775736285,Mercedes-Benz,KM,Other,Other,Available,-34.06055,150.81306,"{'addr1': '38 Blaxland Road', 'city': 'Macarthur', 'region': 'New South Wales', 'country': 'Australia'}"
Mercedes-Benz Bendigo,479548542070732,Mercedes-Benz,KM,Other,Other,Available,-36.71041,144.31483,"{'addr1': '119 -141 Midland Highway', 'city': 'Bendigo', 'region': 'Victoria', 'country': 'Australia'}"
Mercedes-Benz Perth,215111145325932,Mercedes-Benz,KM,Other,Other,Available,-32.00581,115.92243,"{'addr1': '1093-1101 Albany Highway', 'city': 'Bentley', 'region': 'Western Australia', 'country': 'Australia'}"
3 Point Motors (Fairfield),122879387769289,Mercedes-Benz,KM,Other,Other,Available,-37.78312,145.0195,"{'addr1': '484 Heidelberg Road', 'city': 'Fairfield', 'region': 'Victoria', 'country': 'Australia'}"
3 Point Motors (Kew),122879387769289,Mercedes-Benz,KM,Other,Other,Available,-37.80785,145.02916,"{'addr1': '128 Denmark Street', 'city': 'Kew', 'region': 'Victoria', 'country': 'Australia'}"
3 Point Motors (Epping),122879387769289,Mercedes-Benz,KM,Other,Other,Available,-37.64822,144.9955,"{'addr1': '380 Cooper Street', 'city': 'Epping', 'region': 'Victoria', 'country': 'Australia'}"
Mercedes-Benz Toorak,467178166636864,Mercedes-Benz,KM,Other,Other,Available,-37.84195,145.00909,"{'addr1': '11 Carters Avenue', 'city': 'Toorak', 'region': 'Victoria', 'country': 'Australia'}"
Mercedes-Benz Parramatta,561465460549791,Mercedes-Benz,KM,Other,Other,Available,-33.8122,151.00416,"{'addr1': '306-308 Church Street', 'city': 'Granville', 'region': 'New South Wales', 'country': 'Australia'}"
Mercedes-Benz Castle Hill,200237330777980,Mercedes-Benz,KM,Other,Other,Available,-33.72616,150.97945,"{'addr1': '2 Anella Avenue', 'city': 'Castle Hill', 'region': 'New South Wales', 'country': 'Australia'}"
Andrew Miedecke Motors,1684624484938023,Mercedes-Benz,KM,Other,Other,Available,-31.42923,152.88274,"{'addr1': '100 Hastings River Drive', 'city': 'Port Macquarie', 'region': 'New South Wales', 'country': 'Australia'}"
G Brothers,1684624484938023,Mercedes-Benz,KM,Other,Other,Available,-31.42923,152.88274,"{'addr1': 'Cnr. Barrenjoey Road and Bassett St', 'city': 'Mona Vale', 'region': 'New South Wales', 'country': 'Australia'}"
Tynan Motors,190230344330156,Mercedes-Benz,KM,Other,Other,Available,-34.02995,151.10542,"{'addr1': 'Corner Kiora Road & The Boulevarde', 'city': 'Miranda', 'region': 'New South Wales', 'country': 'Australia'}"
Mercedes-Benz Ringwood,619806611386342,Mercedes-Benz,KM,Other,Other,Available,-37.773159,145.292816,"{'addr1': '385 Maroondah Hwy', 'city': 'Ringwood', 'region': 'Victoria', 'country': 'Australia'}"
Silver Star Motors (Doncaster),257917447662840,Mercedes-Benz,KM,Other,Other,Available,-37.78657,145.1417,"{'addr1': '835 Doncaster Road', 'city': 'Doncaster', 'region': 'Victoria', 'country': 'Australia'}"
Silver Star Motors (Burwood),257917447662840,Mercedes-Benz,KM,Other,Other,Available,-37.78657,145.1417,"{'addr1': '835 Doncaster Road', 'city': 'Doncaster', 'region': 'Victoria', 'country': 'Australia'}"
